Id,User,Text
144,WilfridCoby,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
145,CharismaAlasta1,RT @ChalecosAmarill: 🎥🛑In #Albania protest turns violent in #Tirana over fatal police shooting of youngster allegedly violating #COVID19 cu…
146,NamitaS10443904,"RT @drachintya: @BMGFIndia If you learn to translate every mistake of your #life into positive way, you will never be prisoner of your past…"
147,clar_idadE,"RT @SkyNews: The UK has recorded 21,502 new #COVID19 cases and a further 519 deaths in the latest 24-hour period. 

Follow live #coronaviru…"
148,B1G_BAZ,@COVIDLive Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false posi… https://t.co/VjrMwu5usK
149,kohanamurasaki,RT @follabalcones: 🚨 Otra más del coronatimo: Un parlamentario austriaco hace un test de COVID-8M a una Coca Cola en directo y da positivo!…
150,xhertx,"RT @SkyNews: BREAKING: The UK has recorded 21,502 new #coronavirus cases and 519 further deaths in the latest 24-hour period. 

Read more o…"
151,JoshMiniello,"RT @SkyNews: The UK has recorded 21,502 new #COVID19 cases and a further 519 deaths in the latest 24-hour period. 

Follow live #coronaviru…"
152,marselgrup,RT @Cemil25631316: Dostlar bu videoda dünya geneli ölüm oranı 10000 de 2 kişi olan bir hastalık ve 70 milyon vakann 33 milyonn 3 ülkede old…
153,B1G_BAZ,@data_covid19 Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false p… https://t.co/1DS05QJG9z
154,sebman76,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
155,_SiGonfiaLaRete,"#Coronavirus, dopo il sì di EMA pronto il #vaccino #AstraZeneca
https://t.co/R8HoHIGYqz"
156,Khaledwka,"😬
#2021global #newyear2021 #Christmases #Coronavirus #covid19UK #global #happyNewyear https://t.co/ULYdjJHHWI"
157,B1G_BAZ,@DrTedros Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false posit… https://t.co/JqwYDDbvkg
158,mekatakushi,"#FBvYMS
#fenerinmacivar #Fenerbahce #kadikoy #Malatyaspor #yagmur #Haftasonuyasagi #cumartesi #Covid_19… https://t.co/YS5WPD1MX6"
159,Covid8m,RT @follabalcones: 🚨 Otra más del coronatimo: Un parlamentario austriaco hace un test de COVID-8M a una Coca Cola en directo y da positivo!…
160,Kaan71409044,"RT @s_turpcu: Dünyada hangi ülkede #coronavirus’den dolayı çalışması yasaklanan işyeri ve çalışanlarına,
hükümet el uzatmaz da sokağa atar?…"
161,nncc,"👉👉Maldonado advierte que vacuna contra Covid-19 obedece ""agenda global"" https://t.co/Zl71wSvD39 #noticiascristianas… https://t.co/t6v4G3DT2m"
162,Ikramullah1978,"RT @NasreddinKiyan: Pres. @HassanRouhani says restrictive measures to contain COVID-19 in Iran bear good results

#Iran #coronavirus 

http…"
163,kHoshgeldin__,"RT @kHoshgeldin__: Before #coronavirus we used to see social media talking about war crimes in #yemen #Syria #Iraq #Afganistan , humans sta…"
164,MarxThird,"#coronavirus #COVID19 

Still unclear whether we are leveling off or accelerating. https://t.co/vJ01Q4K0KP"
165,SSP_SLP,"👮🏻👮🏻‍♂️✅ ACTUALIZACIÓN COVID19 
Mantengámonos informados en todo momento sobre el #Coronavirus #COVID19… https://t.co/q8Hwli3paW"
166,Lisasto81223153,"RT @SkyNews: The UK has recorded 21,502 new #COVID19 cases and a further 519 deaths in the latest 24-hour period. 

Follow live #coronaviru…"
167,lambo555,RT @PoliticsPollss: If coronavirus cases go up over Christmas would you support a third national lockdown in January? #NationalLockdown #Co…
168,vilvaVilva07,"RT @jaganadan007: Dear farmers, we support you but not now as we need to support to Stop the spread of #COVID19 and will not make way to #C…"
169,taqsh,RT @CellPressNews: Therapeutic nucleic acid based technologies could be a powerful tools for combatting coronaviruses. Read this @TrendsBio…
170,IAM__Network,"Coronavirus cases and deaths soar as Americans pay the price for Thanksgiving get-togethers 

READ MORE:… https://t.co/h3aX26OEXi"
171,indiatvnews,"Oxford-AstraZeneca in ‘mix-match’ COVID-19 vaccine trial with Russia’s Sputnik | via @IndiaTVNews 
#Oxford… https://t.co/e6P68KxxlR"
172,fahmanovich,RT @picardonhealth: What do we know now about where #coronavirus came from? When Chinese scientists alerted colleagues to a new virus last…
173,YeditepeK,"#SONDAKİKA 

#Koronavirüs salgınının bugünkü verileri açıklandı. Bugün toplam 189 bin 065 test yapıldı. Bu testlerd… https://t.co/i7fhOwxveL"
174,B1G_BAZ,@guardian Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false posit… https://t.co/0DeJNlSeC8
175,dammy_soladoyee,"RT @SkyNews: The UK has recorded 21,502 new #COVID19 cases and a further 519 deaths in the latest 24-hour period. 

Follow live #coronaviru…"
